HRTA,MYOR,MIKA,UNTR
NaN,0,NaN,-0.051643048
NaN,-0.19068971,NaN,-0.052476688
NaN,-0.008438935,NaN,-0.090971868
NaN,-0.034486278,NaN,-1.098612482
NaN,-0.131027951,NaN,0.26099303
NaN,-0.010050447,NaN,0.101580004
NaN,0.039609053,NaN,0.137783253
NaN,0.217301386,NaN,0.057708675
NaN,0.151915864,NaN,0.232445671
NaN,0.071227494,NaN,0.287682043
NaN,0.295464331,NaN,0.120249241
NaN,0.130491787,NaN,-0.0199012
NaN,0.233614883,NaN,0.283633696
NaN,-0.008368293,NaN,0.041593824
NaN,0.296050325,NaN,0.144581295
NaN,0.117782972,NaN,-0.039220642
NaN,-0.07496275,NaN,0.005513847
NaN,-0.094113466,NaN,0.036128451
NaN,0.051293244,NaN,0.083510701
NaN,0.213093439,NaN,0.01764763
NaN,0.114410188,NaN,0.067631231
NaN,0.224943726,NaN,0.060784961
NaN,0.171471471,NaN,-0.060784961
NaN,0.094863276,NaN,0.021564235
NaN,0.135624364,NaN,0.089719748
NaN,0.161786837,NaN,-0.090853752
NaN,-0.109518487,NaN,0.105632463
NaN,-0.004640413,NaN,0.0821093
NaN,-0.06237023,NaN,0.042941669
NaN,-0.020000522,NaN,0.034191303
NaN,0.132267825,NaN,-0.108633423
NaN,-0.026907474,NaN,0.083100602
NaN,0.167054017,NaN,-0.066840215
NaN,0,NaN,0.068992867
NaN,0.262364535,NaN,0.028525118
NaN,-0.103323284,NaN,0.079373791
NaN,-0.169163622,NaN,0.103827327
NaN,0.10418342,NaN,-0.145639985
NaN,-0.021429514,NaN,-0.070204228
NaN,0.028471859,NaN,0.111704115
NaN,-0.003514938,NaN,-0.044707232
NaN,0.038001022,NaN,0.120871369
NaN,0.26366718,NaN,0.073158765
NaN,0.040822063,NaN,0.02266854
NaN,0.055907681,NaN,0.12921195
NaN,0.179164431,NaN,-0.108733105
NaN,-0.12174351,NaN,-0.247941765
NaN,-0.078051784,NaN,-0.06206754
NaN,0.083769878,NaN,-0.016529062
NaN,0.054302215,NaN,-0.046293429
NaN,-0.121224452,NaN,0.031904464
NaN,-0.06660907,NaN,0.019139489
